Topic,Count,Name,Representation,Representative_Docs
145,31,145_price_sams_why_club,"['price', 'sams', 'why', 'club', 'walgreens', 'supply', 'prices', 'competitive', 'skyrocketed', 'same']","['This is a great product and often not always available in stores.  Good to be able to purchase in bulk.  I purchased this same carton of 12 Sweet and Low bulk boxes in March of 2011 and the price was $23.72. Now the price is over $64 for the same item, plus over $10 shipping!! Bottom line--as with any retail transaction, you need to determine whether or not the price is reasonable in relation to other sources of the same product.', 'to whom it may concern....Jolly Time Mallow Magic is a wonderful product, but seems to be getting scarce, I have people in my office now wanting it more and more but the supply has seemingly dried up.  it is now on back order for 2-4 weeks, and the problem is there is no place else seemingly to get it so you have a captive audiance but no supply... what is the issue do you know.. please contact the folks and see if they could again deliver it to the military installations (Ft Benjamin Harrison I am retired Army) where I used to buy a box of 2 for $1.19 as apposed to 2.80 and up for a box now. But again it is supply and demand... they have us over a barrell.', 'We regularly take Yerba mate as our tea and this particular brand is what we consume. It is easily  available at our local supermarkets.<br /><br />I would like to see subscribe and save of amazon become more popular and useful as it allows us to simplify things. But boy, someone at Amazon needs to listen to the customers and understand that the customers are educated.<br /><br />Many many of your grocery prices are silly when compared with local market prices in US. This product is a perfect example. It sells at normal MSRP for $9.99/lb in Austin TX in WholeFoods or SunHarvest, yet amazon price is $16.67/lb for a bulk pack? In fact this trend is true in many of the departments. Amazon needs to start showing prices that are real rather than try to ""show"" a big discount. A good mindset to follow would be that of Costco/Sams rather than a shady pawn show.<br /><br />Fix it, and amazon\'s subscription business for groceries & household utilities will take off like you wouldn\'t belove it. I  for one would be happy to shift *all* of my reoccurring, non perishable food supply to Amazon.']"
146,31,146_bags_poop_waste_biodegradable,"['bags', 'poop', 'waste', 'biodegradable', 'leash', 'bag', 'tie', 'tear', 'plastic', 'biobags']","['I have been ordering these bags from amazon for a couple of years now, and they are my preferred choice. Compared to other bags I have used in the past the perforated edges make them easy to tear off and even more importantly they are easy to open. Also the side that opens is clearly marked. These points are important when walking two energetic dogs who can get excited so I like to be able to get the bags out and open and the poop scooped up as quickly as possible.', ""I'd been looking for a long time for a poop bag for my cat that would actually degrade in a reasonable time. I ordered the LARGE size and they fit nicely into our tiny cat trash can. And so far I am very satisfied, no holes, they hold up very well, seem sturdy enough for poop and scooped litter, easy to tie up. The only downside to them is the following: As I said, I use the bags for my cat. So I use the bags to line a little plastic bucket that I use to store used litter. I take out the bag every time that I scoop poop (so every other day). It seems like the outside of the bag gets a little damp by then from the litter. On the other hand the bags are mean for picking up poop and throwing them out right afterwards, not for having them sit around with waste in them."", ""We have a greyhound that can put out a lot of poo to be disposed of. I was concerned about the amount of plastic bags we were using and adding to land fills. After doing some research I found that these bags were 100% biodegradable in a reasonable amount of time while other so called biodegradable bags would actually leave some plastic residue. This company also makes garbage can bags as well which I can find at a local Whole Foods but no local merchants carry the pet waste bags. So I order them from Amazon in a quantity that will qualify for super saver shipping.  I always get them quickly in a very timely manner. These bags are also quite easy to open up when ready to scoop up waste. I've struggled with many of the other bags out there trying to open them up. These are a more expensive product but really worth it for dog owners who have to dispose of the waste in the trash.""]"
147,31,147_gluten_free_glutenfree_them,"['gluten', 'free', 'glutenfree', 'them', 'puffs', 'tek', 'gnocchi', 'these', 'gf', 'snacks']","[""My son is 15months and this is still one of his favorite gluten free snacks. I just wish they would make all their puffs gluten free. He dosen't seem to mind though."", ""These are very good.  Too good for me to buy anymore ;)  We just couldn't seem to help ourselves when these were in our house.<br /><br />They definitly have the gluten free texture a little gritty, ricey feeling.  But its nothing terrible (I should note we are newly gluten free too 3 months, so I still taste and notice gluten free things).  But the flavor was great, especially the vanilla.<br /><br />Unfortunately, we just ate these too fast.  If you have some self-restraint I would highly recommend these."", 'I want to say THANK YOU to happybaby for making the organic sweet potato puffs that are gluten free.  My son has severe milk, egg, and oat food allergies.  The irony is that these are labeled as a ""gluten free"" food, but it is also free of the other allergens. It is very hard to find a product that satisfies his allergy needs.  Everything is either milk free and has oats/wheat... or gluten free and has milk protein.<br />We buy this product in bulk from Amazon and will continue to do so as long as they continue to be milk, egg, gluten, and oat free!<br />I\'d give this product ten stars if I could.<br />THANKS again to happybaby and thanks to Amazon for making them available in bulk at an affordable price!!!<br />(PS. If your child has food allergies, please read the label and don\'t take my word on it!  They could always change the ingredients.)']"
148,31,148_beans_vanilla_extract_cream,"['beans', 'vanilla', 'extract', 'cream', 'bean', 'plump', 'ice', 'madagascar', 'mexican', 'jr']","['I used a combination of beans that included the Mexican beans to make homemade vanilla extract, vanilla sugar and vanilla Splenda. Everything came out great. The beans were fresh and very fragrant. The package arrived quickly and without incident. Will definitely buy these again.', 'These vanilla beans were so fresh & pure! Made excellent vanilla extract & had such a strong vanilla aroma! I would definitely purchase these again!', 'My <a href=""http://www.amazon.com/gp/product/B003KYSLMW"">Cuisinart ICE-21 Ice Cream Maker</a> had a recipe for fresh whole vanilla bean ice cream that I wanted to try--until I encountered the $15 price tag on a single bottled bean at the grocery store! So I ordered 7 fresh beans from Amazon (specifically from JR Mushrooms, shipped by OliveNation) for less than half that price.<br /><br />Seven plump, flexible, aromatic vanilla beans soon arrived. It was a treat just to open the package, because the beans smelled so good. They came in a sealed but resealable plastic bag, which I put into a glass jar in my spice cupboard for long-term storage.  The French Vanilla Bean ice cream turned out to be wonderful!<br /><br />After using up the 7 beans, I placed a second order for 16 beans.  These beans came sealed in shrink-wrapped plastic, so the package itself wasn\'t infused with that marvelous vanilla aroma.  However, the beans are the same big, plump, flexible vanilla beans as before, and they make terrific ice cream!']"
149,30,149_sugar_diabetic_sugarsubstitute_these,"['sugar', 'diabetic', 'sugarsubstitute', 'these', 'huckleberry', 'apple', 'sweets', 'mum', 'crepes', 'they']","['I loved these and shared these with my dad who loves to have a toothpick in his mouth. I was glad to have him spice up his mouth with these which are also sugar free since he is a diabetic so he gets taste with no negative side effects to his health.', 'I purchased these for my husband as he was recently diagnosed as diabetic.  I eat them as much as he does!  There is no strange after-taste as with some sugar-substitute enhanced foods.  We highly recommend.', 'I purchased these for my husband as he was recently diagnosed as diabetic.  I eat them as much as he does!  There is no strange after-taste as with some sugar-substitute enhanced foods.  We highly recommend.']"
150,30,150_kids_snack_lunches_buddies,"['kids', 'snack', 'lunches', 'buddies', 'sunny', 'school', 'them', 'traffic', 'grandpa', 'ages']","['I run a family daycare, with kids of all ages. Everyone of the kids loved them and often ask for them. I feel good to offer the kids a healthy snack.', 'I run a family daycare, with kids of all ages. Everyone of the kids loved them and often ask for them. I feel good to offer the kids a healthy snack.', 'With back to school just around the corner I was looking for new snacks to put in my kids lunches.  Well, I\'ve found a winner!! Sunny Buddies are a great snack for at home, on the go and for my kid\'s lunches. My 8, 6 and 3 year old all love them!  My 8 yr old said ""they\'re great; crunchy on the outside and chewy on the inside.  It tastes like peanut butter & jelly!""  But what\'s so great is Sunny Buddies is actually NUT FREE, which makes it a perfect snack for school.  Something I love is that the back of the package has a spot to write the kids messages to send in their lunch boxes.  Sunny Buddies are a great addition to our families lunches and snacktime.']"
151,29,151_prostate_product_helped_take,"['prostate', 'product', 'helped', 'take', 'effect', 'taking', 'constipation', 'depression', 'sinus', 'themthat']","['I have been having problems with my bladder. Interstital Cystitis is a chronic condition and also effects the colon. I suffer from severe constipation (IBS) also.  I take fiber during the day and make sure I get enough in my diet. In the morning I drink a cup of Alvita Senna tea and within 1 to 1/2 hrs. I have elimination. This is the only thing that has worked for me. I have tried many other laxatives which do not work and bother my bladder. This product does not. I have also drank it at night with good results in the morning. Doctors have said not to use this continually because you could develop dependence. However, my condition is unbearable without it. At last my doctor agreeded that if I was going to take something daily then he suggested this tea.  I highly recommend it for people with my condition or for individuals who take a lot of medications that tend to slow down the system. I have placed an order for more and will continue to use this great product. By the way, I had purchased another brand before I bought this brand and it was of terrible quality. What a difference. This product has great quality and also I like the tea bags being natural and not bleached with chemicals.', ""I have been suffering from chronic constipation my whole life. Four to nine days of misery was my regular life. Nothing helped me for more than two times. A colleague of mine recommended me this product and since I tried it I'm very regular! It is not like the other products I tried (and I really tried a lot of them)that helped me just a couple of times and afterwards no effect anymore. In addition the frequent muscle cramps I use to have have disappeared. In summary I LOVE LOVE LOVE this product, I'm not going to stop taking it anymore!"", ""I have been suffering from chronic constipation my whole life. Four to nine days of misery was my regular life. Nothing helped me for more than two times. A colleague of mine recommended me this product and since I tried it I'm very regular! It is not like the other products I tried (and I really tried a lot of them)that helped me just a couple of times and afterwards no effect anymore. In addition the frequent muscle cramps I use to have have disappeared. In summary I LOVE LOVE LOVE this product, I'm not going to stop taking it anymore!""]"
152,29,152_jasmine_tea_pearl_green,"['jasmine', 'tea', 'pearl', 'green', 'pearls', 'numi', 'teas', 'bitter', 'brew', 'phoenix']","['I have tasted several brands of the Jasmine Green tea and found this to be my favorite.', 'Pretty good quality, dark jasmine tea (not green tea jasmine). I was trying to find a non-green jasmine tea like the kind sold in Indonesia. I use these to make big pitchers of iced jasmine tea - but I need to use 4-5 bags for half a liter, to get that really deep taste...', 'I have tasted several brands of the Jasmine Green tea and found this to be my favorite.']"
153,29,153_bonsai_tree_trees_plant,"['bonsai', 'tree', 'trees', 'plant', 'pot', 'brussels', 'sent', 'beautiful', 'soil', 'juniper']","['I received my Juniper Bonsai Tree starting with the great care in packaging. My tree arrived in perfect condition although was not planted in the pot they described, but a ceramic one. Also it did not come with fertilizer pellets. It did however come with a personal touch, directions on the care of the tree, and a phone # to call as soon as I got my package, and he told me to call if any problems. The tree also came with a guarantee to replace it should there ever be issues with it. Lou was very helpful when I called, and gave me great advice.<br />  Thanks for a great purchase!', ""I recieved this product from lou's bonsai and it was such a disapointment. First off when opening the box the pot was in pieces. I can understand that this happens, but the plant was in horrible condition. It looked like nothing in the picture. I understand that this was not the same tree but it was apparent that the grower just lopped off the top of the tree and grew it like a plant. It looks horrible. My roommate was against me displaying it in our living room because of the crappy look it has. I was so disapointed I am an avid collector of  bonsai trees and it will take years for this bush to look like a tree again. I contacted lou who told me he was going to reship but that never happened. DO NOT BUY FROM LOU'S BONSAI. They totally ruined everything about this transaction"", 'I received this tree this week.  I have purchased Bonsai trees from other online vendors, but none have compared to this starting with the packing of the tree, you could tell it was packed with great care, it arrived in perfect shape.  The tree is healthy and beautiful, far more beautiful than the picture shown on Amazon. The tree has a wonderful aroma, it smells like your in a forest, on a fall morning.<br />I could tell it was healthy immediately.  Sometimes when you order things on line your disappointed, but not enough to go through the trouble of sending the item back.  The minute I saw this tree I had wished I had ordered more.  I will order other items from this company, I hope they are as fine as this purchase was.<a href=""http://www.amazon.com/gp/product/B0000DGG22"">Brussel\'s Dawn Redwood Outdoor Bonsai Tree</a>']"
154,29,154_flowers_roses_bouquet_beautiful,"['flowers', 'roses', 'bouquet', 'beautiful', 'arrived', 'mothers', 'sent', 'proflowers', 'vase', 'flower']","['Buying flowers from this company was extremely pleasant. My flowers arrived on the correct date and was even more than I expected, i will absolutely be buying from them on a regular basis.', 'I sent this bouquet to a favorite friend following the death of her husband.  She said flowers were beautiful, arrived the day after I ordered them and really lasted.<br />Her niece was a florist and says flowers were as good as any they had sent.', ""With all the various Mothers/Stepmothers/In-laws, etc that I had to buy for on Mother's Day, I decided to order flowers through amazon, for ease.  It was a convenient way to send flowers to multiple recipients - and I just hoped that the flowers would look okay.  In fact I was thrilled that EVERYONE who received these tulips raved about them.  All recipients stated that the flowers were expertly packed, very fresh, beautiful, and lasted a long time.  I will use pro-flowers (via amazon) for all future flower purchases.""]"
155,29,155_trap_gopher_mole_traps,"['trap', 'gopher', 'mole', 'traps', 'set', 'tunnel', 'moles', 'gophers', 'yard', 'hole']","[""This gopher trap is designed poorly.  We have gophers and bought this trap online.  The only problem is that the part that should come down and trap/kill the gopher gets stuck with the dirt when you set the trap up.  I'm not sure if we didn't dig down far enough or what the problem was, but the gopher issue was not solved with this product."", 'Pro: Effective when used properly: trapped the pest within a day of properly setting it.  Inexpensive: compared to the damage done by the pest<br /><br />Con: Not for everyone: Required some hand strength/dexterity to set the trigger and to remove the victim.<br /><br />Unfortunately, I live in a perfect location for moles and gophers to thrive, rural enough to have open fields nearby yet suburban enough to keep their natural predators (e.g. snakes, coyotes and bobcats) from effectively intervening.<br /><br />Moles invaded my pristine lawn a few years back and were caught using scissor traps.  However, a year ago, my mole trapping prowess waned as my entire landscape, not just the lawns, was ravaged.  Believing that a new generation of ""smarter"" moles had evolved, I stepped up my trapping regimen while I evaluated ""smarter"" traps.  My past moles inadvertently damaged plants but never destroyed them.  As my ornamental scrubs continued to fall prey one by one, I theorized that the culprit was perhaps a gopher, which unlike a mole eats roots, gnaws on the base of plants and chews up grass around its mounds.  A couple weeks back, as I stood on my front porch, a gopher popped out from a freshly excavated hole and stared me down with its beady eyes -- it felt like a scene from Caddyshack!<br /><br />I placed my order for these traps within the hour. Although most traps seemed lethal, these traps seemed the least invasive yet preserved proof of ""habeus corpus.""  I chose the Sweeneys because they could be set at the mouth of a fresh opening that the gopher would eventually backfill.  This would eschew both the guesswork of finding the ideal location as well as the unearthing the trap when checking or resetting.  I suppose the equivalent Victor traps would have sufficed.<br /><br />As soon as they arrived, I anxiously unpacked and familiarized myself with them.  When setting the Sweeneys, I found the opening diameter made by my gopher prevented the trap from being placed entirely into the hole.  Moreover, it kept the sprung trap from clearing the top of the tunnel.  This was remedied with a bit of trowel work, though.  The trap itself required some hand strength and simultaneous dexterity to set and arm.  I practiced a couple of times arming and triggering it.  The entire trap was placed inside the hole but the metallic trigger plate was purposely left visible.  The trap was tethered to a stake at the mouth of the opening in case the trapped gopher was still able to retreat back into its burrow.  This also made it easier to extract the trapped critter without digging up the entire trap.<br /><br />The next day, the trap was sprung and the gopher was done.  Removing it from the trap required a bit more manual coordination given the carcus prevented clear access to the pincers.  I inserted the shaft of a screwdriver under the gopher across the arms of the trap and stepped down on both ends leaving my hands free to extricate the deformed, lifeless body.  Even though I have had no more visible signs of gopher activity since then, I have reset the trap and placed it in a less conspicious location for peace of mind.<br /><br />I hope this helps.', 'I usually do not write reviews on Amazon (or anywhere else for that matter), but I really have to make an exception in this case because of how well this device works.  It is rare for any device to work exactly as expected, but the Victor Blackbox Gopher Trap works above and beyond any expectations that I had for it.  I do not work for the Victor company, and I have no financial stake in the sales of their products.  I am simply an exasperated homeowner who got fed up wih gophers tearing up his property and decided to give this device a try.<br /><br />I had used poison pellets, smoke bombs, water hose, and those silly sonic devices... nothing worked and those gophers were probably laughing at me.  With the Blackbox, it\'s nearly a sure thing.  Also, you actually get to see the results with a dead gopher right in front of you, unlike smoke bombs and poison which are always a guessing game as to whether or not they actually did their job.<br /><br />Within 2 day of getting this product, I had already caught 3 gophers.  One of those gophers was caught less than 1 hour after I set the trap.  Free lunch on my property is now officially over.<br /><br />The key to the effectiveness of this trap is to find a freshly dug up gopher mound.<br /><br />My sure kill method:<br /><br />1) Find a freshly dug up gopher mound.<br />2) Dig out the mound until you find the tunnel.<br />3) Place the activated trap flush with the entrance of the tunnel, with the small round hole (on one side of the trap) facing outward.<br />4) Cover up the gaps at the top, sides and bottom of the trap with dirt so that it looks like the tunnel extends into the Blackbox, but make sure the opening to the trap is unobstructed from inside their tunnel.<br /><br />The idea is to make the trap seem like an extension of the gopher\'s tunnel, and by instinct the gopher will head towards that small open hole on the other side of the trap to plug it up (they don\'t like any openings into their tunnels).  Once he enters the trap, it\'s goodnight Gracie.  This trap is so strong that the gopher will be nearly snapped in half.<br /><br />Before getting the Blackbox, I had also tried using a ""Macabee"" gopher trap (the one with the 2 pincers that snap together) but the gopher simply pushed that trap out of his tunnel.  The Macabee is also a lot more risky to use and harder to set (in terms of triggering it accidentally on your hand).  The Blackbox is safer to use and much easier to set because the trigger mechanism and the killing device is contained fully within the box itself.  The Macabee trap can also be dragged away by a dying gopher if it is not properly secured.  There is definitely no chance of a gopher dragging away a Blackbox.<br /><br />In summary, I wish I had used the Blackbox from the beginning.  It would have saved me a lot of time, money, frustration and parts of my yard.<br /><br />UPDATE Aug-17-2011:  I have just posted some pics as proof of the effectiveness of this device.  After 13 captures within the first 4 months of use, I have not seen any more gopher activity since April 2011. I guess word got out in the gopher community that there is now a steep price of admission onto this property.']"
156,29,156_drakes_flavors_assortments_them,"['drakes', 'flavors', 'assortments', 'them', 'overly', 'these', 'thinner', 'happily', 'england', 'based']","[""I'm from NY and my family and I loved all the Drakes products,including Devil Dogs,growing up in the 60s and 70s.I moved to Wisconsin in the early 80s and they don't have Drakes products in this state.I've waited over 25yrs to eat Drakes cakes again and I finally found them at Amazon.They're just as great as ever so get some right away.Those substitutes just don't compare!"", ""I ordered these based on the reviews. I'm glad I did. My daughter (and I) love them. They are delicious and not overly sweet. I have only tried the Vanilla, but will happily order other flavors."", ""I ordered these based on the reviews. I'm glad I did. My daughter (and I) love them. They are delicious and not overly sweet. I have only tried the Vanilla, but will happily order other flavors.""]"
157,29,157_peanuts_planters_salted_brittle,"['peanuts', 'planters', 'salted', 'brittle', 'peanut', 'usa', 'lightly', 'shells', 'toffee', 'salt']","['This is my second time ordering these peanuts,these are great,very large not to much salt the best tasting peanuts.Good price & free shipping.Also try the Hot Southern Nuts (Jalapeno flavored) they are great,not to hot.', 'I was hoping that this Margaret Holmes ""Peanut Patch"" product had improved over time. It has not. I used to buy them when I couldn\'t get the fresh ones while I was in the military stationed all over the world. Alas, still the same product as before. Dinky peanuts, many empty shells, rotten peanuts inside (along with the occasional sticks, stems, grit, and other unknown debris). And the worst part - the peanuts are not processed in a manner in which the peanuts come out of the shells easily. A lot of shells are either soggy or undercooked. Anyone that knows and loves boiled peanuts knows what I\'m talking about. You try and ""crack"" the majority of these and the peanut separates into halves and you have to pry them out of the shells each half at at time with a toothpick or something. You can\'t squeeze them out or they\'ll crush, wasting the peanut. Not good. And these ""Cajun"" ones. Wow. They use some type of catsup-tasting thing with some type of pepper. I do not reccommed this product at all. The cans that they come in are heavy and you\'ll pay more for shipping than the actual product. I\'ve been eating boiled peanuts for 40 years. If you REALLY want some good boiled peanuts, with a good variety, try Hardy Farms. I wish I could get them on Amazon, but they aren\'t available.', 'update:  recommend using a strainer to get ride of the salt and peanut dust / crumbs.<br /><br />This is review of the Lightly salted Dry Roasted Planters Peanuts with sea salt.<br /><br />Pro:<br />Glass bottle.  Very impressed.<br /><br />Suggestions to Planters:<br />I actually called planter\'s 1877 # to make some of these suggestions:<br />-The label says ""quality USA .. TM (trade mark)"", and that got me thinking, is this made in the USA or not?  According to the SKU # that I provided, planters customer rep said that these peanuts were roasted in the USA.  I suggested that they write that.<br /><br />-I can\'t imagine anyone would want the regular salted peanuts!  Planters should have ""lightly salted"" be the default.  People would probably eat Less of the regular planters peanuts and it\'s less healthy.  Even for this lightly salted version, there\'s a disclaimer that reads ""Contains 95mg sodium per serving compared to 190 in planters dry roasted peantus, not a low sodium food.""  Well, why not have 3 grades, no salt, almost no salt, and finally lightly salted and get rid of the regularly salted.<br /><br />The label does say ""Kraft Foods Global, INC.  Northfield, IL, USA.""  I really want to know if these peanuts were grown and roasted in the USA.  It helps to write which part is in the USA at the minimum.<br /><br />TASTE:<br />Taste like peanuts, no complaints, just wish it\'s even less salty.  Maybe I should go with the no salt version in the future.']"
158,29,158_wasabi_peas_fs_hapi,"['wasabi', 'peas', 'fs', 'hapi', 'snack', 'soy', 'almonds', 'crunchy', 'healthy', 'spicy']","['These are great if you like seaweed and wasabi.  The wasabi flavor is NOT too strong, but then I love spicy', 'These are delicious. I will buy them again and again. They are not for everyone, but if you like wasabi peas, you will love these. The flavoring works great with the taste of almonds.', ""I was looking for roasted green peas that were not Wasabi for my wife.  I know ... crazy ... but she actually doesn't care for wasabi.  Anyway - she was looking for a healthy snack and I recently noticed a nutrition expert on television recommend roasted green peas so I looked to track some down for a good price.  Most of those offered via Amazon Prime were wasabi or had inconsistent reviews.  Decided to take a chance on this item ... so far not reviewed.  Well - I need not look any further.  This one is a winner.  Peas are the perfect crunchy but not too crunchy texture.  Seasoning is very light but just right.  And one can eat 55 of them as one serving - I weighed them.  Not only is my wife fond of them - my kids are as well.  And, although I had picked up another brand of wasabi peas, I had a hard time staying out of this can when one was open.  This one is a keeper.""]"
159,29,159_zico_coconut_tetra_water,"['zico', 'coconut', 'tetra', 'water', 'bottle', 'concentrate', 'new', 'natural', 'potassium', 'plastic']","['I used to get several cases of ZICO on subscription here on amazon. But Zico changed their packaging AND processing (instead of fresh, it\'s now from concentrate). If it had still tasted the same, I prolly wouldn\'t care it was from concentrate, really. But when does a ""from concentrate"" drink EVER taste as good as natural. Have natural tangerine juice, then drink one from concentrate? Yeah, not the same.<br /><br />So, I\'ve tried O.N.E. and VitaCoco and assorted brands found in supermarkets and Latino stores over the years. But I always went back to Zico. Now that Zico is horrible (tastes and smells funny), I needed a new coconut water for my daily fix. I decided to try this since amazon offered it to me in a Gold Box Deal. Well, it arrived today and I LOVE IT.<br /><br />It has a nice sweetness and a clean taste and it\'s got that refreshing quality that chilled coconut water gives. Heck, I even like it at room temperature. It\'s not the stinky-sour horror Zico now is.<br /><br />I also like that it\'s organic. That\'s a bonus!<br /><br />I agree with the other reviewer that the can is great for chilling it up real cold.<br /><br />UPDATE: Apparently, this brand pasteurizes at quite high temps, so there is a legitimate concern that it loses nutrient content. I therefore recommend that, for those who want more than just a great taste, you either email the company and confirm if they have switched to flash pasteurization, or switch to Amy and Brian\'s (which flash pateurizes and has a BPA free container).<br /><br />I disagree with the reviewer that says those other brands are tastier. I grew up drinking coconut water (my dad would split them open with a machete for us to sip straight out of the coconut), and this one tops O.N.E., which has been my Zico substitute until now,  and VitaCoco (which I do agree is sourish and way down the choice list). But what ""tastes good"" is subjective and we won\'t agree on best taste. But I can tell you this tastes really close to real coconut water fresh from a tree in your backyard (though nothing beats the real, fresh thing). I\'m assuming changes in flavor are to be expected since coconut water will vary from nut to nut. Even Zico was not consistent formerly, sometimes sweeter, sometimes more water, depending, I assume, on the batch of coconuts. Any drink that\'s from actual fresh juice will have variations (and I guess Zico went to concentrate in part to standardize the flavor). So, I may just have a crazy good batch here in my hands. :)<br /><br />I\'ve just signed on for a subscription and three cases are on their way to me, yay! Thanks, Amazon, for this alternative now that I\'m exiled from Zico. Heh.<br /><br />Update: I tried Amy and Brian\'s CW after this one, and I actually prefer the A&B due to the sweetness. It has that lovely light, clean, fresh taste that Nature Factor has, just sweeter. That may not be the best for everyone (some folks will want it less sweet, not more, due to the difference in carbs). But for me, I love sweetness, so I\'m hooked. But you can\'t go wrong with either NF or A&B. Enjoy either or both--as I will. So great to discover fabulous new beverages that are healthful.<br /><br />Addendum re Potassium: This possible potassium-compromising may end up being great for those who want, not just organic, but to minimize potassium intake but enjoy coconut water (ie, those on Ace Inhibitors or potassium sparing drugs, those with kidney function issues). I\'d check with the company first--definitely-- to make sure of actual postassium content before considering it safe for the K-avoiding crowd. Something to consider, though, what with so many Americans on high blood pressure meds. But until the company confirms or denies or makes clear what it\'s ACTUAL end-product electrolytes/Potassium content is, K-avoiders should avoid all coconut water unless your docs okay it.', 'I used to have an Amazon subscription for Zico when it came in the cartons and wasn\'t made from concentrate. When Zico made the change, I decided to try one of their new bottles from a local store before starting a new subscription. I\'m glad that I did because Zico now takes on par with the worst coconut waters I\'ve ever had. It\'s not the worst, but it\'s down there with them. The difference is huge. It tastes slightly rotten now or you could imagine some of the coconut husk was accidentally added to the concentrate. I won\'t be getting Zico anymore.<br /><br />I tried several other brands to replace the old Zico but was disappointed in them all. I did finally find a replacement for Zico with <a href=""http://www.amazon.com/gp/product/B003V8SO10"">Naked 100% Naked Coconut Water, 11.2-Ounce Boxes (Pack of 12)</a>. It\'s as good as the old Zico was if not better.', ""I have tried Vita Coca and Zico. First,  I like the taste of Zico better. Also, saw a review of 3 coconut drink products on TV and Zico was the only product that met their claims. The others fell short. So now it's Zico !""]"
160,29,160_instant_chicory_coffee_instants,"['instant', 'chicory', 'coffee', 'instants', 'brewed', 'starbucks', 'vinacafe', 'via', 'cup', 'ed']","[""I tried this instant coffee for the first time last year, and was immediately hooked! To me its a perfect cup of coffee, if you want something a little better than a regular instant coffee. I actually prefer it over starbucks or coffeebean's coffee blends. It's not as sugary sweet as all the other packaged instant mocha or latte mixes in the market, but has a really nice balance. I couldn't find Vinacafe in any of the regular chain supermarkets, so I'm really glad I found it on Amazon."", 'it is hard to believe the instant coffee can have the same taste as brewed one.', ""I love coffee and I'm a big fan of Starbucks regular brewed coffee which I buy a lot of in the stores. I don't drink much instant coffee but I've tried several other brands in the past and didn't think this Starbucks instant coffee could be much better. I was wrong. Starbucks Via instant coffee tastes as close as you can get to regular brewed coffee. I was shocked at how good it is. It's rich, bold, and flavorful. The only downside is the price - it's significantly more than other brands of instant coffees. I still drink mostly fresh brewed coffee but when I can't and need instant I drink Starbucks Via""]"
